"sector","desc","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"C29_C30","…Transport equipment",-0.208748853044214,3.56377438654804,-2.03948300993904,-2.46820785181415,-4.09733199829082,3.3747553313347,3.99931800943511,4.88160054183728,-0.932238932070417,0.798695905330352,9.8155971270721,5.84275319518348,-3.72873810468922,-4.68350410043461,2.67784801637649,16.0736451307384,-2.34355568399748,15.9183352245914,7.41538925182322,-3.47161117547683,-5.59445518544565
"C31-C33","…Other manufacturing; repair and installation of machinery and equipment",5.39718078535239,5.24873275258794,4.7375589094618,6.42606029325561,6.33668969980488,2.00619992628701,1.99001418752668,1.75666570549606,4.12818162400903,1.88255224288031,5.35474700742674,1.9880273462646,-0.0288464790549723,-0.689955868432379,2.62956155405352,0.0599281742308913,3.55803399634975,-1.09276304122621,2.25050439373271,1.72308356810279,-5.1482705822049
"F","Construction",-3.09213849409193,-4.90696308701108,-1.62770653829396,-2.80008562724679,-4.42889308779676,0.323282696402056,-0.927265962093582,-2.96664901423075,-4.68984707709387,-4.34011919927386,-5.18940131009145,-6.03478946637061,4.38951605532665,5.15626577589516,-6.41772800893215,-3.18979818216597,2.10831909798933,-2.23307562579995,0.498620345663372,1.05767625569086,2.54932090162758
"G","Wholesale and retail trade; repair of motor vehicles and motorcycles",-1.79824368517814,-1.94192578610827,-2.34640867496918,-1.59983902324701,-1.6925537140991,0.750461854498734,-1.20083379856763,-2.91455257286815,-1.40884681602898,-0.407223963292059,0.0771160820787795,-0.998273963528513,-2.43054989951535,0.0278203497686276,2.23968194121745,-1.28706401665296,-1.44345560541013,1.07183201013784,-0.0850756212916348,3.8878960138498,2.80417466880389
"H","Transportation and storage",-1.1106149455424,-1.01146863034364,0.368652334303543,1.72581542581815,0.73902125894647,-2.48185518607469,-5.36174306687355,-6.64499415203224,-2.16394391759968,-5.7532107712082,-1.57150209584968,0.531502213928293,-4.84344565914835,-4.46295505950986,4.21611219634456,2.59009312268153,0.167090169951735,-1.30152636738401,4.29522493067865,1.85968775515237,-4.14470768085672
"I","Accommodation and food service activities",-5.222673061159,-2.62954929096287,-4.80128394276963,-3.78945151241981,-4.38648998933795,-6.07967921072376,-6.85375970313474,-4.70183829909846,-5.26229170820351,-5.62165643016229,-4.79004158641087,-3.54178165176584,-1.21302083305492,-1.45991122665967,1.38500931921715,0.71564017119344,2.4306316495717,-3.04344104860111,-1.68693536463591,0.242601198345052,1.74505806825732
"J","Information and communication",-1.96672500765963,-1.85927669210992,-4.72993228007179,-5.2418376308587,3.71211900635595,3.40190516029742,1.52682183013307,2.28788667635664,-0.512353093045374,1.40444463126941,-1.31535169680455,3.70923959192219,-0.457898146055999,0.578353884960545,4.20156147464296,-1.91515569652655,2.9077054632672,3.81334139078098,6.85874272902439,1.25470614913874,-1.50231095062474
"J58-J60","…Publishing, audio-visual and broadcasting activities",-10.6935134168913,-12.1426185965621,-12.8400400553772,-10.1013287462037,-3.53853210240134,-4.6017339685925,-5.37994656188226,-2.22203744682861,-5.77798714873951,-2.00303413558205,-5.77204653629958,-4.25074079440427,-4.10718423653568,-0.582398213424367,9.51462893869614,-7.61414887332419,-8.95573204912678,-9.14057521648183,0.767252120159835,6.95297224339342,-2.38435714597281
"J61","…Telecommunications",4.18960455745361,4.52326430624958,1.29349187439027,-4.52505284822177,4.16516397607779,5.2108281639426,9.79610281397656,10.5485947888435,4.56825849974981,8.19128862185691,3.46147897960901,8.35587895085281,-4.38155640906592,-0.027862563278521,7.35172354027355,0.297395856780615,10.3254092622696,11.0115498588384,13.9157276092917,5.78983795094616,5.97644520650203
"J62_J63","…IT and other information services",-1.23351017587982,-1.27877419504329,-1.23577732414992,6.90279499784843,13.2667839801656,15.8225486389017,2.58171802811281,1.07699323415384,-0.723173527784863,0.610944344993819,-0.237361918618713,4.34068353245008,-0.256181776889421,0.361510043220737,-7.13820738208074,0.363532199401674,0.232157851318471,2.31509090711951,2.27965854832343,-4.2903453666992,-2.84400863125581
"K","Financial and insurance activities",2.68101718116088,5.00946586050003,8.4481431949239,6.49140188574271,11.3729515048332,6.62841994297799,6.09418277546175,4.28785440889361,8.50008523835038,10.2362389660888,9.63663672037196,6.91549806374845,0.593198816917011,-8.92833531256503,-5.57353556698255,-3.74849059034595,-7.35663163463589,-5.98554357023594,-2.08487605227186,-4.48600056776062,-2.64060106006283
"L","Real estate activities",-4.74381313604545,-15.2754636537578,-17.4131533697924,-7.78143977185495,-14.6616976791078,3.06679636663011,2.8422430660412,-1.41455853385096,-0.409016301524237,-2.15943826700522,-5.48591293021194,3.83247901994648,-3.1334750991451,9.3600439603242,3.95816292839782,4.28295749959219,3.39331327448637,4.45497900729278,-4.39199881572324,-3.59999295763851,-2.10319135790819
"M_N","Professional, scientific, technical, administrative and support service activities",-3.10789519249749,-3.71095156307174,-1.11139936716036,-1.87628483397757,-1.08771468329398,-11.1109412543265,-8.77229167279017,-6.00346219129841,-7.74387477289985,-3.02156452102468,-0.689553457756125,0.522909058637419,-4.68093218118918,-1.44732113777588,-0.841987124176005,3.26264040937256,-2.85737721024811,-0.735332180388953,1.41877719241187,0.614437869439175,0.89823026588657
